msg_id,app_protocol,src_app,dst_app,message,timestamp,src_port,dst_port
1,HTTP,client_browser,web_server,GET /logo.png,0.01679,42069,80
2,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.032564,80,42069
3,HTTP,client_browser,web_server,GET /about,0.045889,42069,80
4,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.063629,80,42069
5,HTTP,client_browser,web_server,GET /about,0.083447,42069,80
6,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.100035,80,42069
7,HTTP,client_browser,web_server,GET /index.html,0.112379,42069,80
8,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.119975,80,42069
9,HTTP,client_browser,web_server,GET /api/data,0.129314,42069,80
10,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.142624,80,42069
11,HTTP,client_browser,web_server,GET /index.html,0.148811,42069,80
12,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.16037,80,42069
13,HTTP,client_browser,web_server,GET /logo.png,0.167972,42069,80
14,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.169486,80,42069
15,HTTP,client_browser,web_server,GET /index.html,0.184455,42069,80
16,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.197311,80,42069
17,HTTP,client_browser,web_server,GET /about,0.204892,42069,80
18,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.20929,80,42069
19,HTTP,client_browser,web_server,GET /about,0.21626,42069,80
20,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.226588,80,42069
21,HTTP,client_browser,web_server,GET /contact,0.229833,42069,80
22,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.247798,80,42069
23,HTTP,client_browser,web_server,GET /api/data,0.255882,42069,80
24,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.257366,80,42069
25,HTTP,client_browser,web_server,GET /logo.png,0.261658,42069,80
26,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.276739,80,42069
27,HTTP,client_browser,web_server,GET /about,0.291632,42069,80
28,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.305733,80,42069
29,HTTP,client_browser,web_server,GET /index.html,0.32332,42069,80
30,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.3321,80,42069
31,HTTP,client_browser,web_server,GET /contact,0.343296,42069,80
32,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.345593,80,42069
33,HTTP,client_browser,web_server,GET /about,0.349484,42069,80
34,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.366378,80,42069
35,HTTP,client_browser,web_server,GET /api/data,0.373517,42069,80
36,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.381171,80,42069
37,HTTP,client_browser,web_server,GET /api/data,0.386244,42069,80
38,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.390545,80,42069
39,HTTP,client_browser,web_server,GET /index.html,0.400519,42069,80
40,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.412465,80,42069
41,HTTP,client_browser,web_server,GET /index.html,0.417078,42069,80
42,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.424428,80,42069
43,HTTP,client_browser,web_server,GET /index.html,0.436,42069,80
44,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.445489,80,42069
45,HTTP,client_browser,web_server,GET /about,0.456709,42069,80
46,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.475359,80,42069
47,HTTP,client_browser,web_server,GET /api/data,0.492029,42069,80
48,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.493051,80,42069
49,HTTP,client_browser,web_server,GET /about,0.511394,42069,80
50,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.528851,80,42069
51,HTTP,client_browser,web_server,GET /logo.png,0.548423,42069,80
52,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.553377,80,42069
53,HTTP,client_browser,web_server,GET /about,0.556178,42069,80
54,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.573916,80,42069
55,HTTP,client_browser,web_server,GET /about,0.578777,42069,80
56,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.593274,80,42069
57,HTTP,client_browser,web_server,GET /index.html,0.612881,42069,80
58,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.629744,80,42069
59,HTTP,client_browser,web_server,GET /contact,0.634328,42069,80
60,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.653114,80,42069
61,HTTP,client_browser,web_server,GET /index.html,0.657889,42069,80
62,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.664444,80,42069
63,HTTP,client_browser,web_server,GET /home,0.679419,42069,80
64,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.695821,80,42069
65,HTTP,client_browser,web_server,GET /logo.png,0.71351,42069,80
66,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.714722,80,42069
67,HTTP,client_browser,web_server,GET /api/data,0.719252,42069,80
68,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.729949,80,42069
69,HTTP,client_browser,web_server,GET /api/data,0.736727,42069,80
70,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.754039,80,42069
71,HTTP,client_browser,web_server,GET /contact,0.767218,42069,80
72,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.772833,80,42069
73,HTTP,client_browser,web_server,GET /home,0.776445,42069,80
74,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.796291,80,42069
75,HTTP,client_browser,web_server,GET /index.html,0.814976,42069,80
76,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.818733,80,42069
77,HTTP,client_browser,web_server,GET /home,0.823388,42069,80
78,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.832502,80,42069
79,HTTP,client_browser,web_server,GET /home,0.834136,42069,80
80,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.846484,80,42069
81,HTTP,client_browser,web_server,GET /contact,0.847577,42069,80
82,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.85454,80,42069
83,HTTP,client_browser,web_server,GET /contact,0.862747,42069,80
84,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.866789,80,42069
85,HTTP,client_browser,web_server,GET /contact,0.872791,42069,80
86,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.881187,80,42069
87,HTTP,client_browser,web_server,GET /about,0.884381,42069,80
88,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.895307,80,42069
89,HTTP,client_browser,web_server,GET /logo.png,0.910892,42069,80
90,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.914226,80,42069
91,HTTP,client_browser,web_server,GET /about,0.930286,42069,80
92,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,0.942509,80,42069
93,HTTP,client_browser,web_server,GET /about,0.949596,42069,80
94,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.950751,80,42069
95,HTTP,client_browser,web_server,GET /api/data,0.952342,42069,80
96,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.967661,80,42069
97,HTTP,client_browser,web_server,GET /about,0.974572,42069,80
98,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,0.992941,80,42069
99,HTTP,client_browser,web_server,GET /contact,0.999115,42069,80
100,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.014805,80,42069
101,HTTP,client_browser,web_server,GET /index.html,1.017798,42069,80
102,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.026394,80,42069
103,HTTP,client_browser,web_server,GET /index.html,1.029713,42069,80
104,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.043027,80,42069
105,HTTP,client_browser,web_server,GET /contact,1.045681,42069,80
106,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.054324,80,42069
107,HTTP,client_browser,web_server,GET /logo.png,1.05674,42069,80
108,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.073301,80,42069
109,HTTP,client_browser,web_server,GET /about,1.080743,42069,80
110,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.084873,80,42069
111,HTTP,client_browser,web_server,GET /logo.png,1.091645,42069,80
112,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,1.102497,80,42069
113,HTTP,client_browser,web_server,GET /about,1.114623,42069,80
114,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.120714,80,42069
115,HTTP,client_browser,web_server,GET /api/data,1.123126,42069,80
116,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.124614,80,42069
117,HTTP,client_browser,web_server,GET /index.html,1.128519,42069,80
118,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.132034,80,42069
119,HTTP,client_browser,web_server,GET /about,1.144422,42069,80
120,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.149271,80,42069
121,HTTP,client_browser,web_server,GET /index.html,1.159956,42069,80
122,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.163373,80,42069
123,HTTP,client_browser,web_server,GET /contact,1.175649,42069,80
124,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,1.184622,80,42069
125,HTTP,client_browser,web_server,GET /home,1.201492,42069,80
126,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.218826,80,42069
127,HTTP,client_browser,web_server,GET /home,1.224121,42069,80
128,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.23332,80,42069
129,HTTP,client_browser,web_server,GET /api/data,1.237156,42069,80
130,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.247877,80,42069
